ts	hosp_mladsi	hosp_65	hosp_75
1583020800			
1583107200			
1583193600			
1583280000			
1583366400			
1583452800			
1583539200			
1583625600			
1583712000			
1583798400			
1583884800			
1583971200	3.0	0.0	1.0
1584057600	3.0	0.0	1.0
1584144000	3.0	0.0	1.0
1584230400	5.0	0.0	2.0
1584316800	15.0	0.0	5.0
1584403200	37.0	0.0	15.0
1584489600	32.0	0.0	19.0
1584576000	37.0	0.0	19.0
1584662400	43.0	0.0	24.0
1584748800	52.0	0.0	28.0
1584835200	61.0	0.0	37.0
1584921600	69.0	0.0	48.0
1585008000	79.0	0.0	56.0
1585094400	86.0	0.0	88.0
1585180800	95.0	0.0	110.0
1585267200	108.0	0.0	129.0
1585353600	118.0	0.0	153.0
1585440000	120.0	0.0	162.0
1585526400	127.0	0.0	167.0
1585612800	130.0	0.0	192.0
1585699200	137.0	76.0	132.0
1585785600	126.0	81.0	144.0
1585872000	131.0	93.0	151.0
1585958400	124.0	83.0	158.0
1586044800	119.0	92.0	159.0
1586131200	126.0	100.0	168.0
1586217600	124.0	108.0	180.0
1586304000	129.0	106.0	187.0
1586390400	116.0	110.0	190.0
1586476800	112.0	107.0	186.0
1586563200	112.0	105.0	188.0
1586649600	108.0	105.0	189.0
1586736000	106.0	104.0	185.0
1586822400	106.0	100.0	180.0
1586908800	100.0	97.0	174.0
1586995200	97.0	93.0	173.0
1587081600	93.0	88.0	174.0
1587168000	90.0	84.0	165.0
1587254400	89.0	86.0	170.0
1587340800	96.0	86.0	167.0
1587427200	94.0	85.0	187.0
1587513600	90.0	79.0	174.0
1587600000	88.0	79.0	169.0
1587686400	87.0	82.0	161.0
1587772800	77.0	82.0	156.0
1587859200	77.0	79.0	154.0
1587945600	76.0	80.0	154.0
1588032000	75.0	80.0	151.0
1588118400	69.0	71.0	146.0
1588204800	66.0	69.0	138.0
1588291200	55.0	65.0	124.0
1588377600	56.0	66.0	111.0
1588464000	53.0	66.0	113.0
1588550400	55.0	70.0	111.0
1588636800	52.0	66.0	105.0
1588723200	51.0	60.0	98.0
1588809600	42.0	58.0	91.0
1588896000	37.0	57.0	91.0
1588982400	35.0	53.0	85.0
1589068800	34.0	48.0	85.0
1589155200	33.0	48.0	86.0
1589241600	26.0	49.0	82.0
1589328000	23.0	48.0	75.0
1589414400	25.0	36.0	67.0
1589500800	22.0	33.0	63.0
1589587200	22.0	30.0	60.0
1589673600	20.0	30.0	60.0
1589760000	23.0	32.0	60.0
1589846400	26.0	28.0	55.0
1589932800	21.0	29.0	51.0
1590019200	24.0	30.0	47.0
1590105600	25.0	28.0	45.0
1590192000	24.0	23.0	46.0
1590278400	25.0	22.0	47.0
1590364800	26.0	22.0	43.0
1590451200	28.0	23.0	41.0
1590537600	24.0	22.0	40.0
1590624000	21.0	21.0	31.0
1590710400	20.0	19.0	32.0
1590796800	17.0	19.0	36.0
1590883200	16.0	18.0	36.0
1590969600	18.0	18.0	37.0
1591056000	17.0	18.0	40.0
1591142400	16.0	14.0	35.0
1591228800	13.0	13.0	34.0
1591315200	13.0	10.0	37.0
1591401600	11.0	12.0	36.0
1591488000	13.0	14.0	34.0
1591574400	15.0	14.0	31.0
1591660800	15.0	16.0	32.0
1591747200	16.0	17.0	33.0
1591833600	16.0	15.0	34.0
1591920000	19.0	16.0	34.0
1592006400	17.0	17.0	33.0
1592092800	17.0	17.0	34.0
1592179200	17.0	20.0	40.0
1592265600	17.0	19.0	42.0
1592352000	21.0	20.0	43.0
1592438400	21.0	20.0	42.0
1592524800	21.0	19.0	42.0
1592611200	21.0	18.0	41.0
1592697600	19.0	17.0	38.0
1592784000	18.0	18.0	39.0
1592870400	17.0	17.0	42.0
1592956800	20.0	17.0	41.0
1593043200	19.0	12.0	36.0
1593129600	20.0	8.0	36.0
1593216000	18.0	8.0	35.0
1593302400	17.0	11.0	38.0
1593388800	18.0	13.0	38.0
1593475200	18.0	14.0	39.0
1593561600	21.0	18.0	36.0
1593648000	24.0	17.0	31.0
1593734400	24.0	15.0	32.0
1593820800	24.0	14.0	32.0
1593907200	28.0	14.0	31.0
1593993600	27.0	14.0	28.0
1594080000	35.0	16.0	26.0
1594166400	39.0	18.0	28.0
1594252800	36.0	20.0	17.0
1594339200	32.0	18.0	19.0
1594425600	28.0	17.0	19.0
1594512000	31.0	17.0	17.0
1594598400	33.0	18.0	20.0
1594684800	35.0	17.0	19.0
1594771200	42.0	17.0	21.0
1594857600	38.0	18.0	20.0
1594944000	36.0	18.0	20.0
1595030400	39.0	16.0	19.0
1595116800	37.0	17.0	20.0
1595203200	37.0	16.0	18.0
1595289600	39.0	18.0	21.0
1595376000	43.0	20.0	29.0
1595462400	40.0	22.0	29.0
1595548800	42.0	23.0	29.0
1595635200	38.0	23.0	31.0
1595721600	36.0	23.0	32.0
1595808000	40.0	25.0	44.0
1595894400	43.0	25.0	46.0
1595980800	40.0	27.0	49.0
1596067200	40.0	26.0	51.0
1596153600	37.0	29.0	48.0
1596240000	41.0	28.0	47.0
1596326400	40.0	25.0	44.0
1596412800	38.0	26.0	49.0
1596499200	41.0	29.0	45.0
1596585600	37.0	32.0	41.0
1596672000	37.0	33.0	35.0
1596758400	35.0	38.0	33.0
1596844800	35.0	36.0	33.0
1596931200	36.0	38.0	33.0
1597017600	40.0	41.0	32.0
1597104000	38.0	40.0	32.0
1597190400	38.0	34.0	29.0
1597276800	38.0	34.0	34.0
1597363200	38.0	35.0	40.0
1597449600	29.0	33.0	41.0
1597536000	29.0	33.0	39.0
1597622400	35.0	39.0	39.0
1597708800	31.0	36.0	36.0
1597795200	34.0	34.0	40.0
1597881600	35.0	35.0	46.0
1597968000	44.0	32.0	43.0
1598054400	50.0	29.0	45.0
1598140800	53.0	30.0	45.0
1598227200	49.0	33.0	47.0
1598313600	50.0	30.0	51.0
1598400000	49.0	33.0	54.0
